序号,项目名称,项目材料,"*综合打分（0-100分）
打分建议不要出现相同分数",评委建议,如需项目答疑，问题可写在这里（每日更新）,特点,访问链接,技术方案,Unnamed: 9
11,王者共创投稿AI审核,https://teko.woa.com/event/ai-agent/1081,40,"1、缺乏指导，体验链接和体验不显著
2、缺技术架构说明",,,,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Ftechmap-product-1258344706.file.myqcloud.com%2Ffile%2Fd2c11fda-b305-4039-8b8e-51f975a90b66.xlsx&wdOrigin=BROWSELINK,
12,鹅博士知识管家,https://teko.woa.com/event/ai-agent/960,95,"1、插件机制、总结
2、完成度高，可推广且便利",,"1、插件、划词问。侧边栏常驻。打造成知识库对接，体验很好。
2、总结文档",,,
13,合规检测GUI Agent,https://teko.woa.com/event/ai-agent/1169,90,"1、手机端检测，小模型
2、场景可推广型强
3、缺乏操作指南和使用手册",,"1、是否有采用开源框架，具体框架和技术是什么
目前ocr使用了百度的paddler，图标是yolo做的小模型
2、框架后续是否可开放用于推广复用
会将手机操作的mcp层独立出来复用，整个框架也会公开出来方便大家自己定义检测项目",https://agent.t.meow5.cc/,副本-GUI Agent QECon2025北京站,
14,QBoost智能平台,https://teko.woa.com/event/ai-agent/1110,90,"1、类似于coze和dify的平台，缺乏详细指导书
2、集成了触发器和企微机器人",,,https://qboost.woa.com/,"https://qboost.woa.com
https://iwiki.woa.com/p/4009606573",
15,自动化预测智能体,https://teko.woa.com/event/ai-agent/1284,90,"1、技术先进，集成了预测算法
2、完成度，缺乏指导书和实际案例分析",提供时序预测AML,,https://agent.t.meow5.cc/,http://auto-forecast.devcloud.woa.com/,
16,DDoS攻防提效AI助手,https://teko.woa.com/event/ai-agent/896,95,"1、技术先进性：LLM+agent+MCP+DIFY
2、功能实用。后续继续迭代自主工具调用功能",,"基于DeepSeek-V3模型的AI助手，通过MCP（Model Context Protocol）框架与各种DDoS防护工具集成
速度很快",https://chat.zsd.woa.com/#/chat,https://km.woa.com/articles/show/629843,
17,Midas问题异常分析,https://teko.woa.com/event/ai-agent/1313,40,缺乏使用指导，不知道怎么用,,,,,
18,TencentOS智能诊断助手,https://teko.woa.com/event/ai-agent/182,90,"1、技术先进性：LLM+agent+MCP
2、本身OS诊断可推广性强，技术框架可推广性待观察",,,https://tmanager.woa.com/#/ipDetail?ip=21.91.168.209&tab=0,https://km.woa.com/articles/show/636629,
19,设计稿转界面代码的Agent,https://teko.woa.com/event/ai-agent/1025,50,"1、无法打开
2、设计稿转界面的技术和agent较多，以及开源实现",,,,,
DDoS攻防提效AI助手,微信游戏 - AI游戏战报,https://teko.woa.com/event/ai-agent/1235,90,动态Prompt、Reward System、模型推理,生成每日复盘、日报,,https://kalm.woa.com/workflow/jWf9dmU7AtiFFtwV,https://techmap-product-1258344706.file.myqcloud.com/file/96b68205-eb81-4e80-8e1c-6fa7caeda9fb.pdf,"https://github.com/volcengine/verl/pull/2854
https://mp.weixin.qq.com/s/ggLadYXIyOkgtavfkRWcQA?mpshare=1&scene=1&srcid=1023tzO8RIAVEvtYaTzCnDY0&sharer_shareinfo=a64d1d1c293bd14c7a3dc38515f20803&sharer_shareinfo_first=a64d1d1c293bd14c7a3dc38515f20803&version=5.0.0.99730&platform=mac#rd"
